,Comp_Sent,Count,Nege_Sent,Nuet_Sent,Posi_Sent,Time,Tweeter
281,0.0,82,0.0,1.0,0.0,2018-03-22 12:45:11+00:00,@WSJ
282,-0.5951,83,0.275,0.621,0.103,2018-03-22 12:30:11+00:00,@WSJ
283,0.4215,84,0.0,0.865,0.135,2018-03-22 12:15:03+00:00,@WSJ
284,-0.1027,85,0.076,0.924,0.0,2018-03-22 12:10:06+00:00,@WSJ
285,-0.2732,86,0.206,0.672,0.123,2018-03-22 12:00:10+00:00,@WSJ
286,0.0,87,0.0,1.0,0.0,2018-03-22 11:50:02+00:00,@WSJ
287,0.4754,88,0.0,0.846,0.154,2018-03-22 11:40:07+00:00,@WSJ
288,-0.7096,89,0.408,0.592,0.0,2018-03-22 11:38:06+00:00,@WSJ
289,-0.296,90,0.115,0.885,0.0,2018-03-22 11:31:03+00:00,@WSJ
290,0.0,91,0.0,1.0,0.0,2018-03-22 11:26:04+00:00,@WSJ
291,0.5574,92,0.0,0.795,0.205,2018-03-22 11:20:04+00:00,@WSJ
292,-0.0,93,0.175,0.714,0.11,2018-03-22 11:11:02+00:00,@WSJ
293,0.0,94,0.0,1.0,0.0,2018-03-22 11:00:13+00:00,@WSJ
294,0.4767,95,0.0,0.814,0.186,2018-03-22 10:58:11+00:00,@WSJ
295,-0.6908,96,0.322,0.678,0.0,2018-03-22 10:55:06+00:00,@WSJ
296,0.0,97,0.0,1.0,0.0,2018-03-22 10:50:03+00:00,@WSJ
297,-0.2263,98,0.147,0.853,0.0,2018-03-22 10:40:06+00:00,@WSJ
298,0.4767,99,0.0,0.876,0.124,2018-03-22 10:30:07+00:00,@WSJ
299,0.2263,100,0.184,0.599,0.217,2018-03-22 10:20:08+00:00,@WSJ
300,0.743,1,0.0,0.523,0.477,2018-03-22 23:00:05+00:00,@YahooFinance
301,0.4404,2,0.0,0.775,0.225,2018-03-22 22:45:01+00:00,@YahooFinance
302,0.0,3,0.0,1.0,0.0,2018-03-22 22:29:01+00:00,@YahooFinance
303,0.5859,4,0.0,0.798,0.202,2018-03-22 22:15:08+00:00,@YahooFinance
304,0.0,5,0.0,1.0,0.0,2018-03-22 22:01:07+00:00,@YahooFinance
305,0.0,6,0.0,1.0,0.0,2018-03-22 21:43:05+00:00,@YahooFinance
306,-0.3612,7,0.2,0.8,0.0,2018-03-22 21:31:01+00:00,@YahooFinance
307,-0.128,8,0.12,0.88,0.0,2018-03-22 21:15:01+00:00,@YahooFinance
